experiment_id,chunk_size,chunk_overlap,question_id,question,answer_correct,citation_correct,retrieval_hit,evidence_rank,chunk_readability,notes
A,300,50,Q001,正式员工每年有多少天带薪年假？,,,,,,
A,300,50,Q002,员工申请年假需要提前多久？,,,,,,
A,300,50,Q005,报销单需要在费用发生后多久内提交？,,,,,,
A,300,50,Q006,BX-1024 是否通过审批？,,,,,,
A,300,50,Q008,私有文档可以被所有用户查看吗？,,,,,,
A,300,50,Q011,公司明年是否计划上市？,,,,,,
B,600,100,Q001,正式员工每年有多少天带薪年假？,,,,,,
B,600,100,Q002,员工申请年假需要提前多久？,,,,,,
B,600,100,Q005,报销单需要在费用发生后多久内提交？,,,,,,
B,600,100,Q006,BX-1024 是否通过审批？,,,,,,
B,600,100,Q008,私有文档可以被所有用户查看吗？,,,,,,
B,600,100,Q011,公司明年是否计划上市？,,,,,,
C,1024,256,Q001,正式员工每年有多少天带薪年假？,,,,,,
C,1024,256,Q002,员工申请年假需要提前多久？,,,,,,
C,1024,256,Q005,报销单需要在费用发生后多久内提交？,,,,,,
C,1024,256,Q006,BX-1024 是否通过审批？,,,,,,
C,1024,256,Q008,私有文档可以被所有用户查看吗？,,,,,,
C,1024,256,Q011,公司明年是否计划上市？,,,,,,
D,1500,300,Q001,正式员工每年有多少天带薪年假？,,,,,,
D,1500,300,Q002,员工申请年假需要提前多久？,,,,,,
D,1500,300,Q005,报销单需要在费用发生后多久内提交？,,,,,,
D,1500,300,Q006,BX-1024 是否通过审批？,,,,,,
D,1500,300,Q008,私有文档可以被所有用户查看吗？,,,,,,
D,1500,300,Q011,公司明年是否计划上市？,,,,,,
